dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,brownfield-land,deliverable,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-address,site-categories,site-plan-url
brownfield-land,,1700896,2016-11-07,,POINT (-1.5476 53.803126),SHL00212,195.0,POINT(-1.5476 53.803126),brownfield-land,authoritative,SHL00212,2016-11-07,geography,,,,0.92,50.0,50.0,,,mixed-ownership,,,not-permissioned,,,Portland Crescent LS1,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00212
brownfield-land,,1700898,2016-11-07,,POINT (-1.565563 53.829482),SHL00028,195.0,POINT(-1.565563 53.829482),brownfield-land,authoritative,SHL00028,2016-11-07,geography,,yes,,0.47,54.0,54.0,Demolition of existing working mens club; residential development 54No. units and replacement working mens club,,not-owned-by-a-public-authority,2017-09-03,,permissioned,full-planning-permission,,Meanwood Road Working Mens Club Meanwood Road Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00028
brownfield-land,,1700899,2016-11-07,,POINT (-1.448251 53.752189),SHL00039,195.0,POINT(-1.448251 53.752189),brownfield-land,authoritative,SHL00039,2016-11-07,geography,,,,1.33,50.0,50.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,77 - 79 Aberford Road Oulton Leeds LS26 8HS,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00039
brownfield-land,2023-08-17,1700900,2017-12-19,,POINT (-1.44768 53.759907),SHL00042,195.0,POINT(-1.44768 53.759907),brownfield-land,authoritative,SHL00042,2017-12-19,geography,,yes,,0.73,12.0,12.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Site At Alma Villas, Woodlesford, Leeds, LS26 8PW",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00042
brownfield-land,2023-08-17,1700901,2016-11-07,,POINT (-1.593934 53.736096),SHL00044,195.0,POINT(-1.593934 53.736096),brownfield-land,authoritative,SHL00044,2016-11-07,geography,,,,0.99,100.0,100.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Tingley Mills Tingley Common Morley Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00044
brownfield-land,,1700902,2016-11-07,,POINT (-1.438561 53.756764),SHL00045,195.0,POINT(-1.438561 53.756764),brownfield-land,authoritative,SHL00045,2016-11-07,geography,,yes,,2.32,70.0,70.0,"Redevelopment of industrial site comprising 67 dwellings, new pedestrian and vehicular access and closure of existing accesses, landscaping, public access to towpath, areas of public open space and off site highway improvements",,not-owned-by-a-public-authority,2022-01-14,,not-permissioned,full-planning-permission,,Site Of Glenoit And Minerva Mills Aberford Road Oulton,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00045
brownfield-land,,1700903,2016-11-07,,POINT (-1.619769 53.814629),SHL00049,195.0,POINT(-1.619769 53.814629),brownfield-land,authoritative,SHL00049,2016-11-07,geography,,yes,,1.09,28.0,28.0,"Change of use and extensions to hostel to form 29 self contained flats, detached blocks of 31 new flats and 23 new houses; laying out of access road and associated parking and landscaping",,not-owned-by-a-public-authority,2015-03-25,,permissioned,full-planning-permission,,"Salvation Army, 139 Broad Lane, Bramley, Leeds",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00049
brownfield-land,,1700904,2016-11-07,,POINT (-1.578279 53.826481),SHL00052,195.0,POINT(-1.578279 53.826481),brownfield-land,authoritative,SHL00052,2016-11-07,geography,,yes,,2.56,68.0,68.0,"Redevelopment of former halls of residence site comprising 4 storey residential care home, 3 blocks of 54 flats, 2 blocks of 14 townhouses, conversion of stables to detached house, with landscaping and public open space",,not-owned-by-a-public-authority,2012-02-08,,permissioned,full-planning-permission,,University Of Leeds Tetley Hall 40-42 Moor Road,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00052
brownfield-land,,1700905,2016-11-07,,POINT (-1.694167 53.867932),SHL00055,195.0,POINT(-1.694167 53.867932),brownfield-land,authoritative,SHL00055,2016-11-07,geography,,,,0.42,7.0,7.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Brookfield Nursing Home, Swaine Hill Terrace, Yeadon",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00055
brownfield-land,2023-08-17,1700906,2016-11-07,,POINT (-1.558563 53.804533),SHL00057,195.0,POINT(-1.558563 53.804533),brownfield-land,authoritative,SHL00057,2016-11-07,geography,,yes,,0.14,7.0,7.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,19 Springfield Mount Woodhouse Leeds LS2 9ng,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00057
brownfield-land,,1700907,2017-12-19,,POINT (-1.55472 53.798946),SHL00060,195.0,POINT(-1.55472 53.798946),brownfield-land,authoritative,SHL00060,2017-12-19,geography,,yes,,0.27,63.0,63.0,,,mixed-ownership,,,not-permissioned,,,Westgate - Brotherton House LS1 2RS,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00060
brownfield-land,2023-08-17,1700908,2016-11-07,,POINT (-1.555148 53.811576),SHL00061,195.0,POINT(-1.555148 53.811576),brownfield-land,authoritative,SHL00061,2016-11-07,geography,,yes,,1.08,28.0,28.0,"Demolition of existing student flats and erect replacement multi storey student accommodation, comprising 2, 3, 4, 5, and 6 storeys, with 526 student bed spaces, warden accommodation, an energy centre and central reception building with landscaping, amenity spaces and car parking areas.",,not-owned-by-a-public-authority,2010-10-26,,permissioned,full-planning-permission,,St Marks Flats St Marks Walk Woodhouse Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00061
brownfield-land,,1700909,2016-11-07,,POINT (-1.534843 53.800569),SHL00064,195.0,POINT(-1.534843 53.800569),brownfield-land,authoritative,SHL00064,2016-11-07,geography,,yes,,0.91,636.0,636.0,"Erection of four buildings varying in height from 23 to 40 storeys over two podiums incorporating 636 residential units (Class C3); 99 serviced apartments (Class C1); 108 long-stay hotel apartments (Class C1); 204 bedroom hotel (C1); 4347sqm. retail (Class A1); 3427sqm. health spa, gymnasium and swimming pool (Classes D1/D2); 2524sqm. landscaping and public open space; 635 car parking spaces over 3 basement levels; related access and serviced facilities.",,not-owned-by-a-public-authority,2011-05-27,,permissioned,full-planning-permission,,"Land At Bridge Street, Gower Street, Regent Street",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00064
brownfield-land,,1700910,2016-11-07,,POINT (-1.5655 53.798806),SHL00065,195.0,POINT(-1.5655 53.798806),brownfield-land,authoritative,SHL00065,2016-11-07,geography,,yes,,2.08,1010.0,1010.0,"Outline application for mixed use development comprising residential (C3/C4), student accommodation (C3/C4), A1-A5, B1, D1 and D2 units, public open space, landscaping, pedestrian river bridge, alterations to site access and highway improvements",,not-owned-by-a-public-authority,2016-07-14,,permissioned,outline-planning-permission,,Land at Kirkstall Road and land off Wellington Road,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00065
brownfield-land,,1700911,2016-11-07,,POINT (-1.556143 53.790628),SHL00068,195.0,POINT(-1.556143 53.790628),brownfield-land,authoritative,SHL00068,2016-11-07,geography,,yes,,0.37,15.0,15.0,Refurbishment of Midland Mills and the construction of a 32 storey tower comprising a total of 306No. apartments; flexible commercial space (class uses A1/A2/A3/A4/B1) creation of a public realm at Midland Mills,,not-owned-by-a-public-authority,2019-09-18,,not-permissioned,full-planning-permission,,"Midland Mills, Silver Street, Leeds, LS11 9yw",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00068
brownfield-land,2023-08-17,1700912,2016-11-07,,POINT (-1.551266 53.79248),SHL00071,195.0,POINT(-1.551266 53.79248),brownfield-land,authoritative,SHL00071,2016-11-07,geography,,yes,,0.4,244.0,244.0,"Mixed use development across three buildings, comprising residential apartments (use class C3), flexible office (use class B1), restaurants and cafés (use class A3), clinics and health centres (use class D1), drinking establishments (use class A4), undercroft parking and associated landscaping.",,not-owned-by-a-public-authority,2017-11-21,,not-permissioned,full-planning-permission,,"Granary Wharf Car Park, Off Water Lane, Leeds, LS11 5ps",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00071
brownfield-land,,1700913,2017-12-19,,POINT (-1.52738 53.790528),SHL00072,195.0,POINT(-1.52738 53.790528),brownfield-land,authoritative,SHL00072,2017-12-19,geography,,yes,,0.46,72.0,72.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Adjacent To Rose Wharf, 78 East Street, Leeds, LS10",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00072
brownfield-land,,1700914,2016-11-07,,POINT (-1.525484 53.789055),SHL00073,195.0,POINT(-1.525484 53.789055),brownfield-land,authoritative,SHL00073,2016-11-07,geography,,yes,,2.82,312.0,312.0,312 dwellings including new open space and associated works,,mixed-ownership,2015-04-08,,permissioned,full-planning-permission,,"Lowfold, East Street, Leeds, LS9 8",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00073
brownfield-land,,1700915,2016-11-07,,POINT (-1.53032 53.801819),SHL00074,195.0,POINT(-1.53032 53.801819),brownfield-land,authoritative,SHL00074,2016-11-07,geography,,yes,,1.18,428.0,428.0,"Extension of time period for Outline application 08/01248/OT for approval of layout, scale and access for multi level mixed use development in 8 blocks comprising residential, retail, offices and leisure uses, with car parking and landscaping",,not-owned-by-a-public-authority,2013-02-20,,permissioned,other,,"Land Between Mabgate, Macaulay Street, Argyll Road",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00074
brownfield-land,,1700916,2016-11-07,,POINT (-1.52979 53.789423),SHL00078,195.0,POINT(-1.52979 53.789423),brownfield-land,authoritative,SHL00078,2016-11-07,geography,,,,0.17,15.0,15.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"79 Clarence Road, Hunslet, Leeds, LS10 1lw",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00078
brownfield-land,,1700917,2016-11-07,,POINT (-1.54967 53.791287),SHL00083,195.0,POINT(-1.54967 53.791287),brownfield-land,authoritative,SHL00083,2016-11-07,geography,,,,2.2,288.0,288.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Westbank, Water Lane, Leeds",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00083
brownfield-land,2023-08-17,1700918,2016-11-07,,POINT (-1.562262 53.800664),SHL00084,195.0,POINT(-1.562262 53.800664),brownfield-land,authoritative,SHL00084,2016-11-07,geography,,yes,,0.14,87.0,87.0,"Student residential accommodation building comprising 87 studio flats, including ancillary communal facilities and retail unit, associated landscaping and car parking",,not-owned-by-a-public-authority,2017-10-03,,permissioned,full-planning-permission,,46 Burley Street Burley Leeds LS3 1dh,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00084
brownfield-land,,1700919,2016-11-07,,POINT (-1.534758 53.789064),SHL00086,195.0,POINT(-1.534758 53.789064),brownfield-land,authoritative,SHL00086,2016-11-07,geography,,yes,,2.42,191.0,191.0,"Demolition of existing buildings and construction of a mixed-use residential scheme comprising up to 928 apartments, ancillary ground floor commercial uses, car parking and public realm set over 5 buildings of 6-20 storeys",,not-owned-by-a-public-authority,2018-11-20,,not-permissioned,full-planning-permission,,"Evans Halshaw, Hunslet Road, Hunslet, Leeds, LS10 1ld",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00086
brownfield-land,,1700920,2016-11-07,,POINT (-1.555851 53.798231),SHL00088,195.0,POINT(-1.555851 53.798231),brownfield-land,authoritative,SHL00088,2016-11-07,geography,,yes,,1.32,209.0,209.0,"Hybrid application for full planning application for erection of one building for residential accommodation (Class C3) with two ground floor commercial units (Class E) and basement car parking; one building for student accommodation (Class Sui Generis); one building for hotel accommodation (Class C1) and co-working office accommodation (Class E); hard and soft landscaping; creation of a new public square; demolition and construction of new stairs and ramp access to existing pedestrian/cycle bridge; new pedestrian and vehicular access; external bike storage, substation, servicing; and modifications to existing vehicular, cycling, and pedestrian infrastructure. Outline planning application for erection of one building for office accommodation (Class E), including basement car parking, access, landscaping with all matters reserved for future consideration with exception of access.",,owned-by-a-public-authority,2022-04-27,,not-permissioned,full-planning-permission,,Leeds International Swimming Pool Westgate Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00088
brownfield-land,2023-08-17,1700921,2016-11-07,,POINT (-1.640292 53.830196),SHL00092,195.0,POINT(-1.640292 53.830196),brownfield-land,authoritative,SHL00092,2016-11-07,geography,,yes,,0.71,25.0,25.0,"Demolish extensions, shed and garages at Low Wood and Four Gables; erection of eight dwellings with associated landscaping and parking",,not-owned-by-a-public-authority,2017-11-10,,not-permissioned,full-planning-permission,,Land At Clarence Road Horsforth Leeds LS18 4lb,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00092
brownfield-land,,1700922,2022-12-20,,POINT (-1.555469 53.828559),SHL00111,195.0,POINT(-1.555469 53.828559),brownfield-land,authoritative,SHL00111,2022-12-20,geography,,yes,,2.63,50.0,50.0,,,owned-by-a-public-authority,,,not-permissioned,,,"Miles Hill Primary School, Beckhill Approach",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00111
brownfield-land,2023-08-17,1700923,2016-11-07,,POINT (-1.553526 53.825627),SHL00112,195.0,POINT(-1.553526 53.825627),brownfield-land,authoritative,SHL00112,2016-11-07,geography,,yes,,0.49,14.0,14.0,"Residential development of 28 houses and 2 bungalows, including access works and greenspace improvements",,owned-by-a-public-authority,2018-03-12,,not-permissioned,full-planning-permission,,"Hill Top Public House, Beckhill Grove",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00112
brownfield-land,2023-08-17,1700924,2016-11-07,,POINT (-1.371121 53.768374),SHL00114,195.0,POINT(-1.371121 53.768374),brownfield-land,authoritative,SHL00114,2016-11-07,geography,,yes,,0.55,22.0,22.0,,,owned-by-a-public-authority,,,not-permissioned,,,"Ash Tree Primary School, Leeds Road, Kippax",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00114
brownfield-land,,1700925,2016-11-07,,POINT (-1.481708 53.802581),SHL00116,195.0,POINT(-1.481708 53.802581),brownfield-land,authoritative,SHL00116,2016-11-07,geography,,yes,,0.64,25.0,25.0,"Outline application for residential development of 23 dwellings (details of access, appearance, layout and scale submitted), including provision of a new access onto Killingbeck Bridge",,not-owned-by-a-public-authority,2022-02-07,,not-permissioned,outline-planning-permission,,"Wykebridge Depot, Killingbeck Bridge, LS14",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00116
brownfield-land,,1700926,2016-11-07,,POINT (-1.511005 53.808501),SHL00121,195.0,POINT(-1.511005 53.808501),brownfield-land,authoritative,SHL00121,2016-11-07,geography,,yes,,0.45,50.0,50.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Compton Arms, Compton Road, Burmantofts, Leeds, LS9 7b",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00121
brownfield-land,,1700927,2016-11-07,,POINT (-1.52605 53.793983),SHL00122,195.0,POINT(-1.52605 53.793983),brownfield-land,authoritative,SHL00122,2016-11-07,geography,,yes,,0.78,171.0,171.0,"Demolition of the Nave and Aisles of the church, replaced with a six story extension; the Chancel, Transept areas and Altars will be retained and restored contain 62 apartments. The Presbytery will also be demolished and replaced with a 5 storey apartment block of 113No. apartments (total residential development comprising of 175 units); Other works including new access, proposed ECVP parking, cycle storage and landscaping works",,not-owned-by-a-public-authority,2022-08-24,,not-permissioned,full-planning-permission,,St Marys Church And Presbytery Church Road Richmond Hill,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00122
brownfield-land,2023-08-17,1700928,2016-11-07,,POINT (-1.439794 53.806626),SHL00123,195.0,POINT(-1.439794 53.806626),brownfield-land,authoritative,SHL00123,2016-11-07,geography,,yes,,3.98,22.0,22.0,Reserved Matters Application for 129 houses and 19 flats,,not-owned-by-a-public-authority,2011-02-12,,permissioned,reserved-matters-approval,,"Radial Park, Phase One Manston Lane Cross Gates",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00123
brownfield-land,,1700929,2016-11-07,,POINT (-1.43656 53.808885),SHL00124,195.0,POINT(-1.43656 53.808885),brownfield-land,authoritative,SHL00124,2016-11-07,geography,,yes,,6.3,93.0,93.0,"Reserved matters application for 177 houses, one block of 9 apartments and one block 6 apartments including associated landscaping",,not-owned-by-a-public-authority,2013-06-20,,permissioned,reserved-matters-approval,,Manston Lane,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00124
brownfield-land,,1700930,2016-11-07,,POINT (-1.523943 53.79508),SHL00130,195.0,POINT(-1.523943 53.79508),brownfield-land,authoritative,SHL00130,2016-11-07,geography,,yes,,0.41,26.0,26.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Upper Accomodation Road, LS9",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00130
brownfield-land,2023-08-17,1700931,2016-11-07,,POINT (-1.357702 53.744952),SHL00136,195.0,POINT(-1.357702 53.744952),brownfield-land,authoritative,SHL00136,2016-11-07,geography,,yes,,1.8,49.0,49.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Barnsdale Road, Allerton Bywater",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00136
brownfield-land,,1700934,2017-12-19,,POINT (-1.525761 53.786027),SHL00142,195.0,POINT(-1.525761 53.786027),brownfield-land,authoritative,SHL00142,2017-12-19,geography,,,,1.18,35.0,35.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,South Accommodation Road And Atkinson Street Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00142
brownfield-land,,1700935,2016-11-07,,POINT (-1.668721 53.752801),SHL00143,195.0,POINT(-1.668721 53.752801),brownfield-land,authoritative,SHL00143,2016-11-07,geography,,,,1.58,49.0,49.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Off Whitehall Road Drighlington BD11 1bx,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00143
brownfield-land,2023-08-17,1700936,2016-11-07,,POINT (-1.53196 53.777234),SHL00147,195.0,POINT(-1.53196 53.777234),brownfield-land,authoritative,SHL00147,2016-11-07,geography,,,,1.29,23.0,23.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Former Motor Dealers Premises Church Street Hunslet,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00147
brownfield-land,2023-08-17,1700937,2016-11-07,,POINT (-1.565127 53.768793),SHL00148,195.0,POINT(-1.565127 53.768793),brownfield-land,authoritative,SHL00148,2016-11-07,geography,,yes,,1.23,44.0,44.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,"Jubilee Works, Old Lane, Beeston",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00148
brownfield-land,,1700938,2016-11-07,,POINT (-1.613884 53.840397),SHL00157,195.0,POINT(-1.613884 53.840397),brownfield-land,authoritative,SHL00157,2016-11-07,geography,,yes,,24.38,335.0,335.0,"Outline application (all matters reserved except for partial means of access to, but not within, the site) for circa 335 residential units and 149 sq m of ancillary retail (Class A1)",,mixed-ownership,2016-09-22,,permissioned,outline-planning-permission,,"Ring Road West Park, Silk Mill Way And Iveson Drive",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00157
brownfield-land,,1700939,2016-11-07,,POINT (-1.558641 53.827498),SHL00163,195.0,POINT(-1.558641 53.827498),brownfield-land,authoritative,SHL00163,2016-11-07,geography,,yes,,2.7,34.0,34.0,Residential development of 153 No. dwellings and associated works,,owned-by-a-public-authority,2020-08-14,,not-permissioned,full-planning-permission,,Beckhill Garth/Approach,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00163
brownfield-land,,1700940,2016-11-07,,POINT (-1.538642 53.79476),SHL00166,195.0,POINT(-1.538642 53.79476),brownfield-land,authoritative,SHL00166,2016-11-07,geography,,yes,,0.04,14.0,14.0,Extension of Time Period for Planning Application 20/547/04/RE (for renewal of permission for 7 storey block comprising A3 restaurant and 14 flats with lower ground floor car parking),,not-owned-by-a-public-authority,2013-02-04,,permissioned,other,,36 The Calls LS1,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00166
